address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x0000000000000000000000009f36a6bb398118bdcd5b1bc3343d8feb6d7d02b9', '0x000000000000000000000000000000000000000000000000000000000000000b']",0x,0xe2a45b,0x932abf113f332c99386cb6d9095b41ffd45d9044c34e341e9845b70afc7137c1,0x62909114,0x747be0076,0x451ee,0x5f,0x196a5d1e903f2aec9354ca8ad0011f9b3252af23b5b1c413d7a14e2f1b30408d,0x53
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x0000000000000000000000006da0a1784de1abdde1734ba37eca3d560bf044c0', '0x000000000000000000000000000000000000000000000000000000000000000c']",0x,0xe34e95,0x497719f9821555dce4675ecf45ec0a6e238f33f89efb43010d5877a7b3723422,0x6299eccb,0x91ce1c45c,0x4ae9f,0xb2,0xf1bead20dbfc8fa54fcd917d27da067860700d4f1fb15e9cfcc4725d9ebe7ac4,0x61
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x0000000000000000000000002bad77c1ae11ff611bd23f6f350d23079ad8a6e1', '0x000000000000000000000000000000000000000000000000000000000000000d']",0x,0xe35d8c,0x08282cc6aafab884c32980a26ebf50646359956e4987bac488992ea578343d01,0x629abd3a,0x8b905d23a,0x4ae9f,0x76,0x0828b43f204fdee84d9fe34df61f840013d4ad78cd878ba7dd827c48db6f1863,0x55
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x0000000000000000000000006643821b13d6a52ca81c0dd2a13bd829289ca0bd', '0x000000000000000000000000000000000000000000000000000000000000000e']",0x,0xe4ac21,0x836267a8e00b67d299ccde2ff733f324a85cfe04410edd0721a3012f1c8b0ea1,0x62ae0fa6,0x1342e66844,0x4ae9f,0xf1,0x1ce3a62da6ace900ec514fc7eb5458e000eda062ccfc5501ab02cb1ae7e28f74,0x94
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x000000000000000000000000d304c4f273e3f298d5e6006088a3e0ba1e6c3058', '0x000000000000000000000000000000000000000000000000000000000000000f']",0x,0xe4e12a,0xd7c347a066eea93632b4c043395826a28dfe7d7805e6c64b6df156f35277a023,0x62b12337,0x3f0318c3b,0x57017,0xcd,0x4497fab6153bc50df10d8c32ed1f2ccbdcc1f84c3c0a777cb0e84183cc22e0b9,0x78
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x000000000000000000000000d304c4f273e3f298d5e6006088a3e0ba1e6c3058', '0x0000000000000000000000000000000000000000000000000000000000000010']",0x,0xe4e552,0x387589400f34029ab0121db53a0fd1afe68ff1c9fd29d5baa11c885a094d7545,0x62b16535,0x899dd0527,0x52d4b,0x49,0xbdf664020c9a811099d096b150611302de56cb5fe0c8606128776b0fd8e6f0a1,0x2d
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x00000000000000000000000088bade0ce190b854aa4754fa474736d8e01dbdc3', '0x0000000000000000000000000000000000000000000000000000000000000011']",0x,0xe5005c,0xabe916707d183c5bfcdb5779ad0506ad9b070920fe959e109f336e4c52467c7e,0x62b31894,0xa92f2e266,0x451ee,0x1f0,0x5a1945a11489ff84d84a13e30857855f0fc7136394217b0ed00be1f7e87571eb,0x14b
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x00000000000000000000000088bade0ce190b854aa4754fa474736d8e01dbdc3', '0x0000000000000000000000000000000000000000000000000000000000000012']",0x,0xe50126,0x374eb4e25355b2e362fc5349b924c29c3098c4cbfedf8ed7dadf756866c508ff,0x62b325ed,0x1042fa706c,0x40f22,0xf2,0x1f39c83bf97ac30fcf383a588a64e41241b28608171c0167347684fab6973b88,0x8d
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x00000000000000000000000088bade0ce190b854aa4754fa474736d8e01dbdc3', '0x0000000000000000000000000000000000000000000000000000000000000013']",0x,0xe506a6,0xc733f0325d2be55d69b005a697fc887730ad88bc09c66152ed9ae96c5ef10894,0x62b37d26,0x98324de7c,0x40f22,0x111,0xe068be624ca13b9ee2da5f6f6de985e0e00dc420404d1351f6cab273066274f5,0x84
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x00000000000000000000000075f3db0725aff1f09cb27a69c357c9bf0932bbeb', '0x0000000000000000000000000000000000000000000000000000000000000014']",0x,0xe548f5,0xf797584deb823725c305837cb9de4e9eba83fa749c7f55b8d394b549a76e9a27,0x62b7addf,0x5c4dad5e5,0x57023,0x79,0x65e70539fdeb916af2495a4718ef90b387a6befefc562c6062d909804efccd69,0x50
